iter	Passed	Remaining
198	297	1198
199	298	1193
200	299	1188
201	299	1183
202	300	1178
203	300	1173
204	301	1168
205	301	1163
206	302	1157
207	302	1153
208	303	1148
209	304	1143
210	304	1139
211	305	1134
212	306	1131
213	306	1127
214	307	1123
215	308	1119
216	309	1115
217	309	1111
218	310	1107
219	311	1103
220	311	1099
221	312	1095
222	313	1091
223	313	1087
224	314	1082
225	314	1078
226	315	1074
227	316	1070
228	316	1066
229	317	1062
230	317	1058
231	318	1054
232	318	1050
233	319	1046
234	320	1042
235	321	1039
236	322	1036
237	322	1033
238	323	1029
239	324	1026
240	324	1023
241	325	1019
242	326	1016
243	327	1013
244	327	1009
245	328	1006
246	329	1003
247	329	999
248	330	996
249	330	992
250	331	988
251	331	985
252	332	981
253	333	978
254	333	975
255	334	971
256	334	968
257	335	964
258	336	962
259	337	959
260	337	956
261	338	953
262	339	950
263	340	948
264	340	945
265	341	941
266	342	939
267	342	935
268	343	932
269	343	929
270	344	926
271	345	923
272	345	920
273	346	917
274	346	914
275	347	911
276	347	908
277	348	904
278	349	901
279	349	899
280	350	896
281	350	893
282	351	891
283	352	888
284	353	885
285	353	883
286	354	881
287	355	878
288	355	875
289	356	873
290	357	870
291	357	867
292	358	865
293	359	862
294	359	860
295	360	857
296	361	854
297	361	852
298	362	849
299	362	846
300	363	844
301	364	841
302	364	839
303	365	836
304	366	834
305	366	832
306	367	830
307	368	827
308	369	825
309	369	822
310	370	820
311	370	817
312	371	814
313	371	812
314	372	809
315	373	807
316	373	805
317	374	802
318	374	800
319	375	797
320	375	795
321	376	792
322	377	790
323	377	787
324	378	785
325	378	783
326	379	780
327	380	778
328	380	776
329	381	774
330	382	773
331	383	771
332	383	768
333	384	766
334	384	764
335	385	761
336	386	759
337	386	757
338	387	755
339	388	753
340	388	751
341	389	749
342	390	747
343	390	745
344	391	743
345	392	741
346	392	739
347	393	737
348	394	735
349	394	733
350	395	730
351	395	728
352	397	728
353	398	727
354	399	725
355	399	723
356	400	721
357	401	719
358	401	717
359	402	715
360	402	713
361	403	711
362	404	709
363	404	707
364	405	705
365	406	703
366	406	701
367	407	699
368	408	697
369	408	695
370	409	693
371	409	692
372	410	689
373	410	687
374	411	686
375	412	684
376	413	683
377	414	681
378	414	679
379	415	677
380	416	676
381	416	674
382	417	672
383	418	670
384	418	668
385	419	666
386	419	664
387	420	663
388	420	661
389	421	659
390	422	657
391	422	655
392	423	653
393	423	651
394	424	649
395	424	648
396	425	646
397	426	644
398	426	642
399	427	641
400	428	639
401	429	638
402	429	636
403	430	635
404	431	633
405	431	631
406	432	629
407	432	627
408	433	626
409	433	624
410	434	622
411	435	621
412	435	619
413	436	617
414	436	615
415	437	614
416	438	612
417	438	610
418	439	609
419	440	607
420	440	606
421	441	605
422	442	603
423	443	602
424	444	600
425	444	599
426	445	597
427	446	596
428	446	594
429	447	593
430	448	591
431	448	590
432	449	588
433	450	587
434	451	585
435	451	584
436	452	583
437	453	581
438	453	580
439	454	578
440	455	576
441	455	575
442	456	573
443	457	572
444	458	571
445	458	569
446	459	568
447	460	567
448	461	565
449	461	564
450	462	562
451	463	561
452	463	559
453	464	558
454	464	556
455	465	555
456	465	553
457	466	552
458	467	550
459	467	549
460	468	547
461	468	545
462	469	544
463	470	542
464	470	541
465	471	539
466	471	538
467	472	537
468	473	535
469	473	534
470	474	533
471	475	531
472	476	530
473	476	529
474	477	527
475	477	526
476	478	524
477	479	523
478	479	522
479	480	520
480	481	519
481	481	517
482	482	516
483	483	514
484	483	513
485	484	512
486	484	510
487	485	509
488	486	508
489	486	506
490	487	505
491	488	504
492	489	503
493	490	502
494	490	500
495	491	499
496	492	498
497	492	496
498	493	495
499	494	494
500	494	492
501	495	491
502	495	490
503	496	488
504	497	487
505	497	486
506	498	484
507	499	483
508	499	481
509	500	480
510	500	479
511	501	477
512	502	476
513	502	475
514	503	474
515	504	473
516	505	471
517	505	470
518	506	469
519	506	467
520	507	466
521	508	465
522	508	464
523	509	462
524	509	461
525	510	460
526	511	459
527	512	457
528	512	456
529	513	455
530	513	453
531	514	452
532	515	451
533	515	450
534	516	448
535	517	447
536	518	446
537	518	445
538	519	444
539	520	443
540	520	441
541	521	440
542	522	439
543	522	438
544	523	437
545	524	435
546	524	434
547	525	433
548	526	432
549	526	431
550	527	429
551	528	428
552	528	427
553	529	426
554	530	424
555	530	423
556	531	422
557	531	421
558	532	420
559	533	419
560	534	418
561	535	417
562	535	415
563	536	414
564	536	413
565	537	412
566	538	410
567	538	409
568	539	408
569	539	407
570	540	406
571	541	404
572	541	403
573	542	402
574	542	401
575	543	400
576	544	398
577	544	397
578	545	396
579	546	395
580	546	394
581	547	393
582	548	392
583	549	391
584	549	389
585	550	388
586	550	387
587	551	386
588	552	385
589	553	384
590	553	383
591	554	382
592	555	381
593	555	379
594	556	378
595	556	377
596	557	376
597	558	375
598	558	373
599	559	372
600	559	371
601	560	370
602	561	369
603	561	368
604	562	367
605	563	366
606	564	365
607	565	364
608	565	363
609	566	362
610	566	360
611	567	359
612	568	358
613	568	357
614	569	356
615	569	355
616	570	354
617	570	352
618	571	351
619	572	350
620	572	349
621	573	348
622	573	347
623	574	346
624	574	344
625	575	343
626	576	342
627	576	341
628	577	340
629	578	339
630	578	338
631	579	337
632	580	336
633	581	335
634	581	334
635	582	333
636	582	332
637	583	331
638	583	329
639	584	328
640	585	327
641	585	326
642	586	325
643	586	324
644	587	323
645	587	322
646	588	321
647	589	320
648	589	318
649	590	317
650	590	316
651	591	315
652	592	314
653	592	313
654	593	312
655	594	311
656	595	310
657	595	309
658	596	308
659	596	307
660	597	306
661	598	305
662	598	304
663	599	303
664	599	302
665	600	301
666	600	300
667	601	298
668	601	297
669	602	296
670	603	295
671	603	294
672	604	293
673	604	292
674	605	291
675	606	290
676	606	289
677	607	288
678	608	287
679	608	286
680	609	285
681	610	284
682	610	283
683	611	282
684	612	281
685	612	280
686	613	279
687	614	278
688	614	277
689	615	276
690	615	275
691	616	274
692	617	273
693	617	272
694	618	271
695	618	270
696	619	269
697	620	268
698	620	267
699	621	266
700	621	265
701	622	264
702	623	263
703	624	262
704	624	261
705	625	260
706	626	259
707	626	258
708	627	257
709	627	256
710	628	255
711	629	254
712	629	253
713	630	252
714	631	251
715	631	250
716	632	249
717	632	248
718	633	247
719	634	246
720	634	245
721	635	244
722	635	243
723	636	242
724	637	241
725	637	240
726	638	239
727	639	238
728	640	237
729	640	237
730	641	236
731	642	235
732	642	234
733	643	233
734	644	232
735	644	231
736	645	230
737	645	229
738	646	228
739	647	227
740	647	226
741	648	225
742	648	224
743	649	223
744	650	222
745	650	221
746	651	220
747	651	219
748	652	218
749	653	217
750	654	216
751	654	215
752	655	214
753	656	214
754	656	213
755	657	212
756	657	211
757	658	210
758	659	209
759	659	208
760	660	207
761	661	206
762	661	205
763	662	204
764	663	203
765	663	202
766	664	201
767	664	200
768	665	199
769	666	198
770	666	198
771	667	197
772	667	196
773	668	195
774	669	194
775	670	193
776	671	192
777	671	191
778	672	190
779	672	189
780	673	188
781	673	187
782	674	186
783	674	185
784	675	185
785	676	184
786	676	183
787	677	182
788	677	181
789	678	180
790	678	179
791	679	178
792	680	177
793	680	176
794	681	175
795	681	174
796	682	173
797	683	172
798	684	172
799	684	171
800	685	170
801	686	169
802	686	168
803	687	167
804	688	166
805	688	165
806	689	164
807	689	163
808	690	162
809	691	162
810	691	161
811	692	160
812	693	159
813	693	158
814	694	157
815	695	156
816	695	155
817	696	154
818	697	154
819	697	153
820	698	152
821	700	151
822	701	150
823	702	149
824	702	149
825	703	148
826	704	147
827	705	146
828	706	145
829	706	144
830	707	143
831	708	143
832	708	142
833	709	141
834	710	140
835	711	139
836	711	138
837	712	137
838	713	136
839	716	136
840	717	135
841	717	134
842	718	133
843	719	132
844	720	132
845	721	131
846	721	130
847	722	129
848	723	128
849	724	127
850	725	127
851	726	126
852	726	125
853	727	124
854	728	123
855	729	122
856	730	121
857	732	121
858	732	120
859	733	119
860	734	118
861	735	117
862	735	116
863	736	115
864	737	115
865	738	114
866	738	113
867	739	112
868	740	111
869	741	110
870	741	109
871	742	108
872	743	108
873	743	107
874	744	106
875	745	105
876	745	104
877	746	103
878	747	102
879	747	101
880	748	101
881	749	100
882	749	99
883	750	98
884	751	97
885	751	96
886	752	95
887	752	94
888	753	94
889	753	93
890	754	92
891	754	91
892	755	90
893	756	89
894	756	88
895	757	87
896	757	87
897	758	86
898	758	85
899	759	84
900	760	83
901	761	82
902	762	81
903	763	81
904	763	80
905	764	79
906	765	78
907	766	77
908	766	76
909	767	75
910	767	75
911	768	74
912	769	73
913	770	72
914	770	71
915	771	70
916	772	69
917	772	69
918	773	68
919	774	67
920	775	66
921	777	65
922	778	64
923	778	64
924	779	63
925	780	62
926	780	61
927	781	60
928	782	59
929	782	58
930	783	58
931	784	57
932	784	56
933	785	55
934	786	54
935	787	53
936	787	52
937	788	52
938	789	51
939	789	50
940	790	49
941	791	48
942	792	47
943	793	47
944	794	46
945	795	45
946	795	44
947	796	43
948	797	42
949	797	41
950	798	41
951	799	40
952	800	39
953	801	38
954	801	37
955	802	36
956	803	36
957	804	35
958	805	34
959	807	33
960	808	32
961	808	31
962	809	31
963	810	30
964	810	29
965	811	28
966	812	27
967	812	26
968	813	26
969	814	25
970	814	24
971	815	23
972	815	22
973	816	21
974	817	20
975	818	20
976	818	19
977	819	18
978	820	17
979	821	16
980	822	15
981	823	15
982	824	14
983	825	13
984	825	12
985	826	11
986	827	10
987	827	10
988	828	9
989	828	8
990	829	7
991	830	6
992	830	5
993	831	5
994	832	4
995	832	3
996	833	2
997	834	1
998	835	0
999	836	0
